issue,platform_printed,platform_tag,name,pages
181,PlayStation2,PS2,無雙OROCHI 魔王再臨,20
181,PlayStation2,PS2,極速快感：職業街頭,30
181,PlayStation2,PS2,IZUMO2 學園狂想曲 雙重節拍,30
181,PlayStation2,PS2,命運傳奇 導演版,30
181,PlayStation2,PS2,涼宮春日的困惑,30
181,PlayStation2,PS2,妳的秋之回憶～Girl's Style～,31
181,PlayStation2,PS2,太平洋風暴 ～戰艦大和拂曉出擊～,31
181,PlayStation2,PS2,幻影戰機,31
181,PlayStation2,PS2,火影忍者 疾風傳 終極覺醒2,76
181,PlayStation2,PS2,粉紅劇毒,88
181,PlayStation2,PS2,信長之野望Online ～爭霸之章～,103
181,PlayStation2,PS2,終末少女幻想 ～Apocalipse～,103
181,PlayStation2,PS2,白銀太陽 通往未來的契約,103
181,PlayStation2,PS2,鋼彈無雙 特別版,118
181,PLAYSTATION3,PS3,魔界戰記3,31
181,PLAYSTATION3,PS3,惡魔獵人4,32;66
181,PLAYSTATION3,PS3,無間特攻,91
181,PLAYSTATION3,PS3,立體貪吃蛇,103
181,PLAYSTATION3,PS3,病毒驅逐戰,103
181,PLAYSTATION3,PS3,機戰傭兵 for Answer,112
181,PLAYSTATION3,PS3,劍魂IV,120
181,Xbox 360,Xbox 360,惡魔獵人4,32;66
181,Xbox 360,Xbox 360,特技天龍：引爆,74
181,Xbox 360,Xbox 360,無間特攻,91
181,Xbox 360,Xbox 360,機戰傭兵 for Answer,112
181,Xbox 360,Xbox 360,劍魂IV,120
181,Wii,Wii,任天堂明星大亂鬥X,32;59
181,Wii,Wii,極速快感：職業街頭,33
181,Wii,Wii,家庭滑雪,33
181,Wii,Wii,性感女劍士Revolution,86
181,NINTENDO DS,NDS,FRONT MISSION 2089 Border of Madness,16
181,NINTENDO DS,NDS,SIMPLE DS系列 Vol.31 THE 超彈丸!! 改造戰車,33
181,NINTENDO DS,NDS,SIMPLE DS系列 Vol.32 THE 殭屍危機,33
181,NINTENDO DS,NDS,每日心理分析DS 快樂占卜2008,34
181,NINTENDO DS,NDS,可愛方塊 好奇少女DS,34
181,NINTENDO DS,NDS,弘道大哥的親子體操指導,34
181,NINTENDO DS,NDS,蟲師 ～天降之里～,34
181,NINTENDO DS,NDS,梅澤由香里的易學圍棋,35
181,NINTENDO DS,NDS,得分力學習DS 國1英語／國2英語／國3英語／國1數學／國2數學／國3數學／國1日語／國2日語／國3日語／國中地理／國中歷史／國中公民／國中理化第1類／國中理化第2類／國1英數日包／國2英數日包／國3英數日公民包／國中地歷・理化包,35
181,NINTENDO DS,NDS,左右開弓訓練 -理論右手與感性左手-,35
181,NINTENDO DS,NDS,1日10分鐘提升畫技DS,100
181,NINTENDO DS,NDS,商務能力檢定DS,100
181,NINTENDO DS,NDS,SuperLite2500 閒暇時的方磚解謎DS,101
181,NINTENDO DS,NDS,現子麻將 ～作弊流浪記～,101
181,NINTENDO DS,NDS,親子娛樂 貓狗俱樂部 男孩版,101
181,NINTENDO DS,NDS,親子娛樂 貓狗俱樂部 女孩版,101
181,NINTENDO DS,NDS,溫泉懸疑推理（暫定）,102
181,NINTENDO DS,NDS,藍龍PLUS,104
181,NINTENDO DS,NDS,機動戰士鋼彈00,106
181,NINTENDO DS,NDS,世界樹的迷宮II 諸王聖杯,114
181,PlayStation Portable,PSP,太平洋風暴 ～戰艦大和拂曉出擊～,35
181,PlayStation Portable,PSP,戰鼓啪打碰,80
181,PlayStation Portable,PSP,無限迴廊,90
181,PlayStation Portable,PSP,魔喚精靈PORTABLE,102
181,PlayStation Portable,PSP,幻想國物語 2in1 Portable～奧勒德王國＆普魯托共和國～,102
181,PlayStation Portable,PSP,機動戰士鋼彈 基連的野望 阿克西斯的威脅,108
181,PlayStation Portable,PSP,STAR OCEAN Second Evolution,110
181,PlayStation Portable,PSP,魔物獵人PORTABLE 2nd G,116
181,ARCADE,Arcade,太鼓之達人11 亞洲版,84
184,PlayStation2,PS2,吸血奇譚,28
184,PlayStation2,PS2,放學後的白銀旋律,28
184,PlayStation2,PS2,鳥之星 ～飛行星球～,29
184,PlayStation2,PS2,鋼彈無雙 特別版,29
184,PlayStation2,PS2,暗夜魔法師 世界的否定,30
184,PlayStation2,PS2,FINAL APPROACH 2 ～1st priority～,30
184,PlayStation2,PS2,戀愛甜點,31
184,PlayStation2,PS2,無雙OROCHI 魔王再臨,118
184,PLAYSTATION3,PS3,頭文字D EXTREME STAGE,14
184,PLAYSTATION3,PS3,極度黑暗,16
184,PLAYSTATION3,PS3,喋血雙雄,18
184,PLAYSTATION3,PS3,魔界戰記3,70
184,PLAYSTATION3,PS3,METAL GEAR SOLID 4 GUNS OF THE PATRIOTS,91
184,PLAYSTATION3,PS3,人中之龍 見參！,114
184,PLAYSTATION3,PS3,戰場女武神,120
