cdg_id,cdg_title,year,cdg_platform,cdg_images,tocr_id,tocr_name,articles,tocr_platforms,status
cdg-5028,神秘屋,1980,Apple II,0,,,,,站上沒有
cdg-1099,巫術,1981,DOS,1,cmsvna26v009z04l82wow7qnd,巫術,1,DOS,
cdg-2034,德軍總部（Castle Wolfenstein）,1981,Apple II,0,cmtpk5e1r013404jvro0fzpkt,德軍總部,1,,
cdg-2697,電腦病毒防衛戰,1981,DOS,3,cmsvuqwvx001804lezlk58wrx,電腦病毒防衛戰,2,DOS,
cdg-5012,惡魔的熔爐,1981,Apple II,2,,,,,站上沒有
cdg-5023,先鋒號,1981,Apple II,0,,,,,站上沒有
cdg-5047,青蛙過街（Frogger）,1981,DOS,0,,,,,站上沒有
cdg-1100,巫術2：鑽石騎士,1982,DOS,1,,,,,站上沒有
cdg-4994,午夜密令,1982,DOS,0,,,,,站上沒有
cdg-5002,模擬飛行,1982,DOS,0,,,,,站上沒有
cdg-5008,深海尋寶,1982,DOS,0,,,,,站上沒有
cdg-5017,從海底出擊（U-Boat Command）,1982,Apple II,0,cmsx2w9es006g04ldpno4vjf3,從海底出擊,4,,
cdg-5018,法櫃奇兵（Aztec）,1982,Apple II,0,,,,,站上沒有
cdg-5019,組合式彈子枱,1982,Apple II,0,,,,,站上沒有
cdg-5021,戰艦對決,1982,Apple II,0,,,,,站上沒有
cdg-5024,幫辦,1982,Apple II,0,,,,,站上沒有
cdg-5025,海龍,1982,Apple II,0,,,,,站上沒有
cdg-5029,登陸諾曼地,1982,Apple II,0,,,,,站上沒有
cdg-5030,糊塗礦工,1982,Apple II,0,,,,,站上沒有
cdg-5038,立體空戰,1982,DOS,0,,,,,站上沒有
cdg-5039,太空突擊隊,1982,DOS,0,,,,,站上沒有
cdg-5041,進化論,1982,DOS,0,cmu84x5m700cx04ihv7bbsl23,EVOLUTION,1,,
cdg-5042,大戰機器城,1982,DOS,0,,,,,站上沒有
cdg-5044,蛇吞蛋,1982,DOS,0,,,,,站上沒有
cdg-5056,迷宮探險（Shamus）,1982,DOS,0,,,,,站上沒有
cdg-5059,神奇小蜜蜂,1982,DOS,2,,,,,站上沒有
cdg-5070,蛇王迷宮,1982,,0,,,,,站上沒有
cdg-0110,Pango,1983,DOS,3,,,,,站上沒有
cdg-0525,小精靈,1983,DOS,0,,,,,站上沒有
cdg-0734,武士道,1983,DOS,3,,,,,站上沒有
cdg-1101,巫術3：萊迦買城傳奇,1983,DOS,1,,,,,站上沒有
cdg-1108,巫術對弈,1983,DOS,3,,,,,站上沒有
cdg-1637,信長之野望,1983,DOS,6,cmsvn87h7005k04l84y34whaj,信長之野望,8,DOS,
cdg-2225,超級運動員,1983,DOS,0,,,,,站上沒有
cdg-2251,跳棋,1983,DOS,0,,,,,站上沒有
