cdg_id,cdg_title,year,cdg_platform,cdg_images,tocr_id,tocr_name,articles,tocr_platforms,status
cdg-1637,信長之野望,1983,DOS,6,cmsvn87h7005k04l84y34whaj,信長之野望,8,DOS,
cdg-0210,三國志,1985,DOS,7,cmsumhmxm002c04jovzwvrc8x,三國志,13,,
cdg-3465,蒼狼與白鹿2：成吉思汗,1987,DOS,1,cmtb7senv000j04lar55hbedf,成吉思汗,3,,
cdg-1638,信長之野望2：戰國群雄傳,1988,DOS,13,,,,,站上沒有
cdg-0211,三國志2,1989,DOS,4,cmta7yv40002404kz9ucdgqkw,三國志 II,4,,
cdg-0621,水滸傳：天命之誓,1989,DOS,3,,,,,站上沒有
cdg-3901,水滸傳,1989,DOS,3,cmsvuqwox000104lepsmjptw7,水滸傳,21,,
cdg-0418,大航海時代,1990,DOS,0,cmt1mvam3008j04juistmvfn7,大航海時代,3,DOS,
cdg-1639,信長之野望4：武將風雲錄,1990,DOS,0,,,,,站上沒有
cdg-3042,拿破崙,1990,DOS,5,cmtb7selp000b04lacxyeot6l,拿破崙,3,DOS,
cdg-1586,伊忍道,1991,DOS,0,cmtpkfrbi02c404jvsweyh4xz,伊忍道,2,DOS,
cdg-3885,歐陸戰線,1991,DOS,0,cmtpkerd1023s04jvgh3xpyhf,歐陸戰線,1,DOS,
cdg-4113,魔法皇冠,1991,DOS,0,cmtpkdgqu01t704jvckcnyji9,魔法皇冠,1,DOS,
cdg-0212,三國志3,1992,DOS,1,cmtpkcbg401is04jvmeipzt0j,三國志III,2,,
cdg-3466,蒼狼與白鹿3：元朝秘史,1992,DOS,0,,,,,站上沒有
cdg-0419,大航海時代2,1993,DOS,0,cmtpkgvud02mn04jvlihcqing,大航海時代2,1,DOS,
cdg-3540,獨立戰爭,1993,DOS,1,cmtpkerdq024304jvpbbi01xb,獨立戰爭,2,DOS,
cdg-3915,項劉記,1993,DOS、DOS/V,0,cmtpkg3cb02el04jvv7p7s3jx,項劉記,2,DOS,
cdg-4887,賽馬大亨,1993,DOS/V,0,,,,,站上沒有
cdg-4888,神之大地,1993,DOS/V,0,,,,,站上沒有
cdg-0213,三國志4,1994,DOS/V,1,cmtpkdgo601sc04jvdry7i2k4,三國志IV,4,,
cdg-0800,安琪莉可女王之路,1994,Windows,1,cmtpl78a708pv04jv52x4gvs6,安琪莉可 - 女王之路,2,WIN,
cdg-1641,信長之野望6：天翔記,1994,DOS、DOS/V,1,,,,,站上沒有
cdg-4889,源平合戰,1994,DOS/V,1,,,,,站上沒有
cdg-0214,三國志5,1995,DOS,1,cmtpkv0oq05jk04jvfnpe53ym,三國志V,4,,
cdg-0229,三國志英傑傳,1995,DOS,0,cmtpkolag03ud04jv7pwgujw1,三國志英傑傳,3,DOS,
cdg-0503,太閤立志傳,1995,DOS,0,cmtpkk67f034a04jvz4dikcz8,太閤立志傳,2,DOS,
cdg-0861,航空霸業2,1995,DOS,0,cmtpkktey03bk04jv3ku626vz,航空霸業 2,1,DOS,
cdg-1640,信長之野望5：霸王傳,1995,DOS/V,0,,,,,站上沒有
