group,id,name,slug,articles,note,articles_sample
,cmtpnvlk906an04l6ujswhzd3,ALICEの館7,alice-館7,1,含假名,軟體世界 187 p.126 ALICEの館7
,cmtplblxa09ug04jvak4e6sqs,A列車で行こう5,a列車-行-5,1,含假名,軟體世界 108 p.104 A列車で行こう5
,cmtplkkbv0c3404jvua2bu2gr,Brandish4～眠れる神の塔,brandish4-眠-神-塔,1,含假名,軟體世界 121 p.136 Brandish4～眠れる神の塔
,cmu84x5qm00db04ihkazhgrbf,Dの食卓2,d-食卓2,2,含假名,電擊SEGA SATURN 電擊SS 創刊3號 p.44 Dの食卓2 / 電擊SEGA SATURN 電擊SS 創刊5號 p.36 Dの食卓2
,cmtpl63fq08ei04jvgeprn2z4,EVER BRUME ～漆黒の霸者～,ever-brume-漆黒-霸者,1,含假名,軟體世界 100 p.134 EVER BRUME ～漆黒の霸者～
,cmtpo1srl07m004l61cf818zg,GALZOO アイランド,galzoo,1,含假名,軟體世界 200 p.182 GALZOO アイランド
,cmtplqr320djf04jvwbdca4zq,Green～秋空のスクリーン～,green-秋空,1,含假名,軟體世界 131 p.154 Green～秋空のスクリーン～
,cmtpl9hjs09av04jv3g0dq7uk,Piaキャロットへようこそ!!2,pia-2,1,含假名,軟體世界 105 p.100 Piaキャロットへようこそ!!2
,cmtpnyim706uq04l6wxbxjegw,Qualia ～クオリア～,qualia,1,含假名,軟體世界 193 p.54 Qualia ～クオリア～
,cmtplab8s09ib04jv3vozamms,RK～リバーシブル カルテ～,rk,1,含假名,軟體世界 106 p.106 RK～リバーシブル カルテ～
,cmtpl55dm086t04jvr8xmq7vt,RPG ツクール 95,rpg-95,1,含假名,軟體世界 99 p.274 RPG ツクール 95
,cmtpnv0st064m04l62n5kvtu5,Relict～トキのれもの～,relict,1,含假名,軟體世界 186 p.92 Relict～トキのれもの～
,cmtpliavg0bjn04jvufbi0227,Schwarzschild GXR 時現の遺人,schwarzschild-gxr-時現-遺人,1,含假名,軟體世界 118 p.124 Schwarzschild GXR 時現の遺人
,cmtzt4p26003y0agmyhp7gvjg,Tactics Ogre 運命の輪,tactics-ogre-運命-輪,2,含假名,電玩通 317 p.88 Tactics Ogre 運命の輪 / 電玩通 316 p.60 Tactics Ogre 運命の輪
,cmtpnv0tg064v04l63xjbq76n,Virgin SNOW～雪降る丘であなたと～,virgin-snow-雪降-丘,1,含假名,軟體世界 186 p.96 Virgin SNOW～雪降る丘であなたと～
,cmtpnxf9n06ox04l6qfil9wns,WAGA 妖魔かぶりちわ,waga-妖魔,1,含假名,軟體世界 191 p.104 東洋館
,cmtpll9me0caj04jvdryi4lqg,W～血塗られた花嫁～,w-血塗-花嫁,1,含假名,軟體世界 122 p.123 W～血塗られた花嫁～
,cmu84x6he00iq04ih9p7g6eht,e² tude prologue～揺れ動く心のかたち～,e2-tude-prologue-揺-動-心,1,含假名,電擊SEGA SATURN 電擊SS 創刊5號 p.102 e² tude prologue～揺れ動く心のかたち～
,cmtpliawj0bjw04jv6y9b542h,spinet ～ひかさねて～,spinet,1,含假名,軟體世界 118 p.128 spinet ～ひかさねて～
,cmtpnyiib06uc04l6gc01wq8a,анимумунди ～終わりなき闇の舞踏～,終-闇-舞踏,1,含假名,軟體世界 193 p.42 анимумунди ～終わりなき闇の舞踏～
,cmtpknfqe03jh04jvst3qu5wk,ああっ女神さま,女神,3,含假名,軟體世界 75 p.200 ああっ女神さま / 軟體世界 105 p.109 ああっ女神さまっ / 軟體世界 177 p.122 女神
,cmtpo1stn07m904l6nhpupjv3,あえかなる世界の終わりに,世界-終,1,含假名,軟體世界 200 p.187 あえかなる世界の終わりに
,cmtpn2nrs00gi04l661i1580c,あしたの雪之丞,雪之丞,1,含假名,軟體世界 150 p.163 あしたの雪之丞
,cmtpnvljv06ak04l66e4o364u,あの空の向こう側,空-向-側,2,含假名,軟體世界 187 p.124 あの空の向こう側 / 軟體世界 189 p.24 空帝戰騎～黃昏昏沉心候
,cmtpl55ff087704jvv84kjnrq,あやかし忍傳くの一番,忍傳-一番,1,含假名,軟體世界 99 p.282 あやかし忍傳くの一番
,cmtpl3m7707s804jvuek2bhqz,いたずら悪戯,悪戯,1,含假名,軟體世界 97 p.262 いたずら悪戯
,cmtplokbp0cyd04jvqt29f7s4,ういずゆーToybox,toybox,1,含假名,軟體世界 127 p.138 ういずゆーToybox
,cmtpl55g7087g04jvljn3e397,お嬢さんを狙え,嬢-狙,1,含假名,軟體世界 99 p.288 お嬢さんを狙え
,cmu84x4op007y04ih07iq759g,お嬢様特急 エクスプレス,嬢様特急,2,含假名,電擊SEGA SATURN 試刊8號 p.16 お嬢様特急 エクスプレス / 電擊SEGA SATURN 試刊9號 p.48 お嬢様特急 エクスプレス
,cmtpl7z9808vu04jvdgprecjl,かえるにょ・ぱにょ,game-7,1,含假名,軟體世界 103 p.81 かえるにょ・ぱにょ
,cmtplokaz0cy404jvwz17cu1e,かぜおと・ちりん,game-17,1,含假名,軟體世界 127 p.132 かぜおと・ちりん
,cmtpo1ssi07m304l6s3swqgb0,きると,game-19,1,含假名,軟體世界 200 p.184 きると
,cmtpl7z9h08vx04jv8w5b6fzh,くすり指の教科書2,指-教科書2,1,含假名,軟體世界 103 p.84 くすり指の教科書2
