group,id,name,slug,articles,note,articles_sample
,cmsybok2i005304l2fc3gnkog,007超級情報員 (007 James Bond The Stealth Affair),007超級情報員-007-james-bond-the-stealth-affair,1,44 字,軟體世界 22 p.6 007超級情報員第18集一撥雲見日
,cmtzt5oiq006r0agmrpscyyiz,'@SIMPLE DL系列 Vol.1 THE 逃出密室 ～不可思議的麥當熊篇～,simple-dl系列-vol-1-the-逃出密室-不可思議的麥當熊篇,1,39 字,電玩通 343 p.152 新作情報快遞
,cmtztly6w001i0agm82bbc2v1,'@SIMPLE DL系列 Vol.3 THE 逃出密室 ～名人豪宅篇～,simple-dl系列-vol-3-the-逃出密室-名人豪宅篇,1,35 字,電玩通 381 p.116 新作情報快遞
,cmtpk43ha00qo04jv4k2r4m37,ACES OF THE PACIFIC Expansion Disk WW II:1946,aces-of-the-pacific-expansion-disk-ww-ii-1946,1,45 字,軟體世界 52 p.4 NEW FILES
,cmsybi8ap000e04l2f85a4cf1,Buck Rogers: Countdown to Doomsday,buck-rogers-countdown-to-doomsday,1,34 字,軟體世界 21 p.6 拯救地球
,cmtpk1s5h00hy04jvlj2v5lme,CastleS II: Siege & Conquest,castles-ii-siege-conquest,1,28 字,軟體世界 46 築城大師 II：王位爭奪戰
,cmsx2w9bb005l04ldx06mxhwh,Castlevania III: Dracula's Curse,castlevania-iii-dracula-s-curse,1,32 字,軟體世界 16 p.7 惡魔城傳說
,cmsxqcbos005f04l40yj9qhte,Chamber of the Sci-Mutant Priestess,chamber-of-the-sci-mutant-priestess,1,35 字,軟體世界 19 p.10 異形神殿
,cmtzt4lrw00240agmpaf438i1,DISSIDIA duodecim FINAL FANTASY,dissidia-duodecim-final-fantasy,3,31 字,電玩通 316 p.16 DISSIDIA duodecim FINAL FANTASY / 電玩通 330 p.64 DISSIDIA duodecim FINAL FANTASY / 電玩通 329 p.85 DISSIDIA duodecim FINAL FANTASY
,cmu097t59002d0agm8dewjgzo,DJ MAX PORTABLE: BLACK SQUARE,dj-max-portable-black-square,1,29 字,電玩通 367 p.130 新作情報快遞
,cmtzt4zi3009b0agmofgxxowp,DRAGON QUEST MONSTERS-Joker 2 PROFESSIONAL,dragon-quest-monsters-joker-2-professional,9,42 字,電玩通 327 p.138 期待新作特搜隊 / 電玩通 333 p.44 DRAGON QUEST MONSTERS-Joker 2 PROFESSIONAL / 電玩通 338 p.61 DRAGON QUEST MONSTERS-Joker 2 PROFESSIONAL …共 9 篇
,cmtzt4k9p001c0agma6wjkmth,DRAGON QUEST VI: Realms of Reverie,dragon-quest-vi-realms-of-reverie,1,34 字,電玩通 284 p.84 DRAGON QUEST VI: Realms of Reverie
,cmtztlo1r005l04l54119jpfd,DS-PICO系列 Sanrio彩虹樂園 快樂購物 裝飾美妙房間,ds-pico系列-sanrio彩虹樂園-快樂購物-裝飾美妙房間,1,32 字,電玩通 317 p.43 最新發售遊戲導覽
,cmtztlxvg001c0agmnsm4kjfi,Dies irae ～Amantes amentes～,dies-irae-amantes-amentes,1,27 字,電玩通 380 p.108 新作情報快遞
