group,id,name,slug,articles,note,articles_sample
洪荒帝國,cmsylqobq001t04jiwdbx9k25,洪荒帝國,洪荒帝國,6,,軟體世界 29 p.26 洪荒帝國之旅(一) / 軟體世界 27 p.96 洪荒帝國屬性修改法 / 軟體世界 25 p.28 洪荒帝國初期冒險 …共 6 篇
洪荒帝國,cmsyrzhtx003f04jxhq64ulqb,洪荒帝國 (Dune),洪荒帝國-dune,1,Dune,軟體世界 31 p.82 洪荒帝國之旅(三)
洪荒帝國,cmsybv6cu009v04l2b0nw6fdo,洪荒帝國 (Savage Empire),洪荒帝國-savage-empire,1,Savage Empire,軟體世界 23 p.4 洪荒帝國
洪荒帝國,cmsys39xp006s04jx2kd2w28r,洪荒帝國 (The Legacy),洪荒帝國-the-legacy,1,The Legacy,軟體世界 32 p.49 洪荒帝國之旅完結篇
銀河飛將ii,cmt1hzs95002n04ldphozlprv,銀河飛將 II,銀河飛將-ii,2,,軟體世界 35 p.35 銀河飛將 I、II－讓雷達看得更遠 / 軟體世界 35 p.37 銀河飛將 I、II－終結大法
銀河飛將ii,cmsyrzhgk000w04jxapcme1ye,銀河飛將 II (Wing Commander II),銀河飛將-ii-wing-commander-ii,2,Wing Commander II,軟體世界 31 p.13 銀河飛將 II / 軟體世界 32 p.87 銀河飛將 II 特別報導
銀河飛將ii,cmsys39te005i04jx0qv4ifjs,銀河飛將 II (Wing Commander II: Vengeance of the Kilrathi),銀河飛將-ii-wing-commander-ii-vengeance-of-the-kilrathi,1,Wing Commander II: Vengeance of the Kilrathi,軟體世界 32 p.8 銀河飛將 II
銀河飛將ii,cmt03mnjd002704l5hsr0bmcq,銀河飛將II,銀河飛將ii,11,,軟體世界 34 p.35 銀河飛將II——雷霆戰機 / 軟體世界 34 p.55 銀河飛將II——帝國逆襲(下) / 軟體世界 34 銀河飛將II無敵程式II …共 11 篇
光速先鋒,cmsyevzyr000d04l1lzatcr6x,光速先鋒,光速先鋒,4,,軟體世界 29 p.40 光速先鋒提示篇 / 軟體世界 29 p.41 光速先鋒戰鬥指導篇 / 軟體世界 24 p.7 光速先鋒 …共 4 篇
光速先鋒,cmsybok5d005x04l2m49uak1m,光速先鋒 (Light Speed),光速先鋒-light-speed,1,Light Speed,軟體世界 22 p.15 光速先鋒
光速先鋒,cmsyrzhnt002d04jx8ptwsn18,光速先鋒 (Lightspeed),光速先鋒-lightspeed,1,Lightspeed,軟體世界 31 p.53 光速先鋒一超級戰艦
印度王,cmta92g3m007u04l6q95qtev1,印度王,印度王,1,,電腦玩家 4 p.26 印度王
印度王,cmsyrh858004104lfiw7f805g,印度王 (Champion fo Raj),印度王-champion-fo-raj,1,Champion fo Raj,軟體世界 30 p.12 印度王 (Champion fo Raj)
印度王,cmsyrzh9c000204jxjyrjqbxi,印度王 (Champion of Raj),印度王-champion-of-raj,1,Champion of Raj,軟體世界 31 p.1 印度王
威利奇遇記,cmt03mnm5002p04l5j5wmzp2c,威利奇遇記,威利奇遇記,3,,軟體世界 34 p.49 威利奇遇記完全攻略(一) / 軟體世界 35 p.56 威利奇遇記攻略完結篇 / 電腦玩家 6 p.30 威利奇遇記
威利奇遇記,cmsys39vh006504jxnmfxcfbo,威利奇遇記 (The Adventure of Willie Beamish),威利奇遇記-the-adventure-of-willie-beamish,2,The Adventure of Willie Beamish,軟體世界 32 p.16 威利奇遇記 / 軟體世界 32 p.93 威利奇遇記特別報導
威利奇遇記,cmsysv1gg000104jogrb7i7d6,威利奇遇記 (The Adventure of Willy Beamish),威利奇遇記-the-adventure-of-willy-beamish,1,The Adventure of Willy Beamish,軟體世界 33 p.6 威利奇遇記
幻想空間ii,cmsvna28500aa04l8zsb7hayj,幻想空間 II,幻想空間-ii,2,,軟體世界 24 p.57 幻想空間 II / 軟體世界 2 p.50 幻想空間 II 完全攻略篇
幻想空間ii,cmsylwgzy007704jidns1hsq6,幻想空間II,幻想空間ii-2,1,,軟體世界 26 p.57 幻想空間II(三)完結篇
幻想空間ii,cmsylqodk002b04jiru3rtj6z,幻想空間Ⅱ,幻想空間ii,1,,軟體世界 25 p.57 幻想空間Ⅱ(二)
幻想空間v,cmsys39zc007a04jxbmwvxass,幻想空間 V (Leisure Suit Larry V),幻想空間-v-leisure-suit-larry-v,1,Leisure Suit Larry V,軟體世界 32 p.81 幻想空間 V 特別報導
幻想空間v,cmsys39u4005q04jx2jgmlvzy,幻想空間 V (Leisure Suit Larry V: Passionate Patti Does A Little Undercover Work),幻想空間-v-leisure-suit-larry-v-passionate-patti-does-a-little-undercover-work,1,Leisure Suit Larry V: Passionate Patti Does A Little Undercover Work,軟體世界 32 p.11 幻想空間 V
幻想空間v,cmt1hzsbh003d04ldqj6o83ee,幻想空間V,幻想空間v,3,,軟體世界 35 p.64 幻想空間V完全攻略(二) / 軟體世界 36 p.62 幻想空間V攻略完結篇 / 電腦玩家 5 p.44 幻想空間 V
新宇宙傳奇i,cmt1hzsaw003604ldfluqf2te,新宇宙傳奇 I,新宇宙傳奇-i,1,,軟體世界 35 p.49 新宇宙傳奇 I 完全攻略
新宇宙傳奇i,cmsyrzhek000l04jxyh0dkgy8,新宇宙傳奇 I (Space Quast I),新宇宙傳奇-i-space-quast-i,1,Space Quast I,軟體世界 31 p.10 新宇宙傳奇 I
新宇宙傳奇i,cmsys39q8005604jx7ue3hn43,新宇宙傳奇 I (Space Quest I: Roger Wilco in the Sarien Encounter),新宇宙傳奇-i-space-quest-i-roger-wilco-in-the-sarien-encounter,1,Space Quest I: Roger Wilco in the Sarien Encounter,軟體世界 32 p.4 新宇宙傳奇 I
明星職棒,cmta1agid006i04jwaf65gsko,明星職棒,明星職棒,2,,電腦玩家 5 p.24 明星職棒 / 軟體世界 45 p.28 百戰天龍｜祕技天地
明星職棒,cmsys39s7005a04jx1aydkt1o,明星職棒 (Tony LaRuSa's Ultimate Baseball),明星職棒-tony-larusa-s-ultimate-baseball,1,Tony LaRuSa's Ultimate Baseball,軟體世界 32 p.6 明星職棒
明星職棒,cmsyrzhfy000s04jxtcwyugt3,明星職棒 (Tony LaRussa Baseball),明星職棒-tony-larussa-baseball,1,Tony LaRussa Baseball,軟體世界 31 p.12 明星職棒
