bucket,cdg_id,cdg_title,year,cdg_platform,cdg_images,tocr_id,tocr_name,articles,years,tocr_platforms,status,decision
A 正規化後完全相同,cdg-1968,雙截龍2：復仇,1988,DOS,3,cmsvuqwtg000p04lesa83s82n,雙截龍 II,1,1990–1990,,要判,
A 正規化後完全相同,cdg-1968,雙截龍2：復仇,1988,DOS,3,cmsx2unnl002604ldqe5irny6,雙截龍II,2,1990–1990,,要判,
A 正規化後完全相同,cdg-4504,蝙蝠俠電影版,1989,DOS,2,cmsyevzw4000104l11vw046rv,蝙蝠俠。電影版,2,1991–1991,,要判,
A 正規化後完全相同,cdg-4504,蝙蝠俠電影版,1989,DOS,2,cmsyqnps3004g04i5co9lv7xy,蝙蝠俠·電影版,1,1991–1991,,要判,
A 正規化後完全相同,cdg-4584,F-29復仇者隱形戰鬥機,1989,DOS,0,cmsyq9fm3003u04jn0jhrvwl6,F-29復仇者隱形戰鬥機,1,1991–1991,,要判,
A 正規化後完全相同,cdg-4584,F-29復仇者隱形戰鬥機,1989,DOS,0,cmsyrh7nb000f04lfuh4op4oc,F-29 復仇者隱形戰鬥機,2,1991–1991,,要判,
B 一中一西,cdg-0013,1990世界盃足球賽,1989,DOS,2,cmsx2w99n005704ld4pormgdz,1990世界盃足球賽,4,1990–1991,,要判,
B 一中一西,cdg-0013,1990世界盃足球賽,1989,DOS,2,cmsx2w99t005804ldzc3zljn9,World Cup Soccer ITALIA '90,1,1990–1990,,要判,
B 一中一西,cdg-0233,三國演義,1991,DOS,4,cmsylqohs003f04jih81zn4j0,三國演義,17,1991–1992,,要判,
B 一中一西,cdg-0233,三國演義,1991,DOS,4,cmsylwgrf005604jiajhhyt73,The Rising Dynasty,1,1991–1991,,要判,
B 一中一西,cdg-0491,太平洋空戰英雄,1992,DOS,3,cmt9rt6f3000m04jsn35mpmks,太平洋空戰英雄,5,1992–1993,,要判,
B 一中一西,cdg-0491,太平洋空戰英雄,1992,DOS,3,cmta069tq000204jr2m4cz0tv,Aces of the Pacific,1,1992–1992,,要判,
B 一中一西,cdg-0627,水管狂想曲,1989,DOS,4,cmsvpx5bx001m04ld7fvxuts0,水管狂想曲,2,1989–1990,,要判,
B 一中一西,cdg-0627,水管狂想曲,1989,DOS,4,cmsvpx5c3001o04ldjxk9szc0,Pipe Dream,1,1989–1989,,要判,
B 一中一西,cdg-0640,世嘉拉力賽2,1999,Windows,2,cmtxy693b005204kwi4edjcnj,SEGA越野賽車 2,7,1999–1999,,要判,
B 一中一西,cdg-0640,世嘉拉力賽2,1999,Windows,2,cmtplmm7h0ck604jv6sjatwq1,SEGA RALLY 2,1,1999–1999,,要判,
B 一中一西,cdg-0666,世紀帝國,1997,Windows,1,cmtplab8109i104jvho5o1s18,世紀帝國,2,1998–1998,,要判,
B 一中一西,cdg-0666,世紀帝國,1997,Windows,1,cmu5g93qj001a04ky9vlnep2l,Age of Empires,1,1998–1998,,要判,
B 一中一西,cdg-0833,百戰迷宮,1993,DOS,5,cmtpkd3ux01oi04jvnreyegtx,百戰迷宮,1,1994–1994,,要判,
B 一中一西,cdg-0833,百戰迷宮,1993,DOS,5,cmtpkb3y001g304jv8kp1vxlv,DUNGEON HACK,1,1994–1994,,要判,
B 一中一西,cdg-1051,御封戰將,1990,DOS,3,cmsybeknm000h04jvka2sq7zw,御封戰將,6,1990–1992,,要判,
B 一中一西,cdg-1051,御封戰將,1990,DOS,3,cmsxqcbqe005v04l4y3wzsvju,King's Bounty,1,1990–1990,,要判,
B 一中一西,cdg-1152,決戰大魔域,1993,DOS,1,cmtpkg3fb02fp04jvfg4ibdu4,重返魔域,2,1994–1994,,要判,
B 一中一西,cdg-1152,決戰大魔域,1993,DOS,1,cmtpk6hpz01a104jvjrsnm47p,RETURN TO ZORK,1,1993–1993,,要判,
B 一中一西,cdg-1162,決戰西洋棋（Battle Chess）,1988,DOS,3,cmsvn61tt001n04l8kw1afpb3,決戰西洋棋,2,1989–1989,,要判,
B 一中一西,cdg-1162,決戰西洋棋（Battle Chess）,1988,DOS,3,cmsvpx5gq002t04ld8a0iiorc,Battle Chess,1,1989–1989,,要判,
B 一中一西,cdg-1361,陸空戰將,1993,DOS,0,cmta91uj4005504l6xb1iluch,陸空戰將,6,1991–1993,,要判,
B 一中一西,cdg-1361,陸空戰將,1993,DOS,0,cmtpk43ju00rb04jvv69flbbc,Strike Commander,1,1993–1993,,要判,
B 一中一西,cdg-1381,勇士傳奇,1992,DOS,7,cmta8mevy000s04jr4lp79x4z,勇士傳奇,4,1993–1993,,要判,
B 一中一西,cdg-1381,勇士傳奇,1992,DOS,7,cmtpjz2pp003704jv2udqq48p,Legends of Valour,1,1993–1993,,要判,
B 一中一西,cdg-1547,飛龍騎士,1990,DOS,1,cmsx2w9c2005s04ld3ba4wjca,飛龍騎士,5,1990–1992,,要判,
B 一中一西,cdg-1547,飛龍騎士,1990,DOS,1,cmsx2w9ca005t04ld2qefaj72,Dragon Strike,1,1990–1990,,要判,
B 一中一西,cdg-1574,代碼：冰人,1990,DOS,3,cmswuudso000l04l4pdiof632,代碼：冰人,2,1990–1990,,要判,
B 一中一西,cdg-1574,代碼：冰人,1990,DOS,3,cmswuudsw000m04l4iga9g33o,CODENAME: ICEMAN,1,1990–1990,,要判,
B 一中一西,cdg-1592,伊蘇國,1989,DOS,2,cmswqdm8u00c104l6v2yjifu0,伊蘇國,3,1990–1991,,要判,
B 一中一西,cdg-1592,伊蘇國,1989,DOS,2,cmsvpbm1m000904jvs3fslqf4,Ancient Land of Ys,1,1989–1989,,要判,
B 一中一西,cdg-1620,俠客遊,1994,DOS,1,cmtpkxds8064a04jvv07i0krc,俠客遊,2,1996–1999,,要判,
B 一中一西,cdg-1620,俠客遊,1994,DOS,1,cmtpki0l002yz04jv5r15adcc,LUNATIC DAWN II,1,1995–1995,,要判,
B 一中一西,cdg-1732,快樂天堂,1994,DOS,4,cmtpkhksp02s204jvth3m20lt,快樂天堂,2,1994–1994,,要判,
B 一中一西,cdg-1732,快樂天堂,1994,DOS,4,cmtpkfc6j029004jvioos90nj,THEME PARK,1,1994–1994,,要判,
B 一中一西,cdg-1783,惡魔禁地,1993,DOS,2,cmstskppu000i04l5e3e2bxbh,惡魔禁地,6,1993–1994,,要判,
B 一中一西,cdg-1783,惡魔禁地,1993,DOS,2,cmtpjz2it001i04jvtli0vego,Veil of Darkness,2,1993–1993,,要判,
B 一中一西,cdg-1832,神奇傳說,1997,Windows,0,cmtpl1ipb071104jvnj9odlxq,神奇傳說,6,1997–1999,,要判,
B 一中一西,cdg-1832,神奇傳說,1997,Windows,0,cmtpkznf606q704jvbvhoqntl,Farland Saga,1,1996–1996,,要判,
B 一中一西,cdg-1838,神州八劍,1991,DOS,2,cmsylqo73001004jip3ilyfux,神州八劍,8,1991–1991,,要判,
B 一中一西,cdg-1838,神州八劍,1991,DOS,2,cmsylqo7a001104ji6uj6ncxo,The Other Side of the Predella,1,1991–1991,,要判,
B 一中一西,cdg-1918,毀滅戰士（Obliterator）,1988,DOS,3,cmsvpx58s000o04ldnqzmqbgs,毀滅戰士,5,1989–1994,,要判,
B 一中一西,cdg-1918,毀滅戰士（Obliterator）,1988,DOS,3,cmsvpx58z000q04ldgun6zvjs,Obliterator,1,1989–1989,,要判,
B 一中一西,cdg-1938,異域之門,1991,DOS,3,cmt1hzs81002c04ldgwpxkmc8,異域之門,9,1992–1992,,要判,
B 一中一西,cdg-1938,異域之門,1991,DOS,3,cmsyrh865004904lfdknkbdek,Gateway to the Savage Frontier,1,1991–1991,,要判,
B 一中一西,cdg-2091,絕冬城之夜,2002,Windows,0,cmtpn7cu101fa04l69fkvomky,絕冬城之夜,2,2002–2003,,要判,
B 一中一西,cdg-2091,絕冬城之夜,2002,Windows,0,cmtplycry0f4f04jvjkjqomub,Neverwinter Nights,1,2001–2001,,要判,
