triage,multi_claim,cdg_id,bucket,cdg_title,cdg_year,cdg_platform,a_id,a_name,a_articles,a_years,b_id,b_name,b_articles,b_years,jev_same_game,jev_relation,jev_relation_conf,jev_era_mismatch,decision
建議合併,,cdg-3044,B 一中一西,挑戰極速,1991,DOS,cmta8xkyt002v04l62ep5rko9,挑戰極速,1,1991–1991,cmsyqnpif001q04i5n9yy6hq7,Mario Andretti's Racing Challenge,1,1991–1991,0.970,translation_pair,1.000,0.050,
建議合併,,cdg-0491,B 一中一西,太平洋空戰英雄,1992,DOS,cmt9rt6f3000m04jsn35mpmks,太平洋空戰英雄,5,1992–1993,cmta069tq000204jr2m4cz0tv,Aces of the Pacific,1,1992–1992,0.960,translation_pair,0.990,0.070,
建議合併,,cdg-1051,B 一中一西,御封戰將,1990,DOS,cmsybeknm000h04jvka2sq7zw,御封戰將,6,1990–1992,cmsxqcbqe005v04l4y3wzsvju,King's Bounty,1,1990–1990,0.960,translation_pair,0.980,0.070,
建議合併,,cdg-1361,B 一中一西,陸空戰將,1993,DOS,cmta91uj4005504l6xb1iluch,陸空戰將,6,1991–1993,cmtpk43ju00rb04jvv69flbbc,Strike Commander,1,1993–1993,0.960,translation_pair,1.000,0.060,
建議合併,,cdg-1783,B 一中一西,惡魔禁地,1993,DOS,cmstskppu000i04l5e3e2bxbh,惡魔禁地,6,1993–1994,cmtpjz2it001i04jvtli0vego,Veil of Darkness,2,1993–1993,0.960,translation_pair,0.990,0.080,
建議合併,,cdg-2262,B 一中一西,黎明之砧,1996,DOS,cmtpku77705bk04jvurs2f8ub,黎明之砧,5,1996–1996,cmtpkrzyn04p204jvq4s6veh1,Anvil of Dawn,1,1996–1996,0.960,translation_pair,0.990,0.230,
建議合併,,cdg-2775,B 一中一西,瘋狂主宰,1991,DOS,cmtpk4x7r00z904jvfqp1cse0,瘋狂主宰,1,1993–1993,cmtpjz2nq002q04jvh5w7ojh3,Mega Lo Mania,2,1993–1993,0.960,translation_pair,0.990,0.340,
建議合併,,cdg-2969,B 一中一西,創世紀7：黑月之門,1992,DOS,cmt9n4wfe004e04jm0ub74vge,創世紀VII——黑月之門,1,1992–1992,cmt9n4wfm004f04jmh4wdi9le,Ultima VII-The Black Gate,1,1992–1992,0.960,translation_pair,0.880,0.050,
建議合併,,cdg-3946,B 一中一西,炮艇,1990,DOS,cmsx2undp000804ld6ne8af6j,GUN BOAT,1,1990–1990,cmsx2undi000704ldd4i47i55,砲艇,1,1990–1990,0.960,translation_pair,0.960,0.060,
建議合併,,cdg-3951,B 一中一西,激戰M星雲,1990,DOS,cmsybektu001f04jvycwn7y4z,激戰M星雲,1,1990–1990,cmsxqcbpm005n04l4ouh2r17h,Star Control,1,1990–1990,0.960,translation_pair,0.990,0.060,
建議合併,,cdg-3972,B 一中一西,親愛的，我被電視吸走了,1990,DOS,cmsylqo41000j04ji5ag5kvco,親愛的，我被電視吸走了！,1,1991–1991,cmsylqo4i000k04ji0nkumnxv,Altered Destiny,1,1991–1991,0.960,translation_pair,1.000,0.330,
建議合併,,cdg-3983,B 一中一西,粒子世界,1990,DOS,cmsx2w9dg006404ldrsmez0g2,粒子世界,1,1990–1990,cmsx2w9dn006504ldd9n9mhj2,The Game of Harmony,1,1990–1990,0.960,translation_pair,1.000,0.070,
建議合併,,cdg-3994,B 一中一西,拯救地球,1990,DOS,cmsybi8a9000d04l291em15xc,拯救地球,5,1990–1992,cmsybi8ap000e04l2f85a4cf1,Buck Rogers: Countdown to Doomsday,1,1990–1990,0.960,translation_pair,1.000,0.060,
建議合併,,cdg-3997,B 一中一西,克萊恩黑暗之后,1992,DOS,cmt9rt6g5000s04jsgtnowz4u,克萊恩黑暗之后,4,1992–1992,cmta06a2n001a04jrcltpba25,The Dark Queen Of Krynn,1,1992–1992,0.960,translation_pair,0.880,0.060,
建議合併,,cdg-4255,B 一中一西,異域寶藏,1992,DOS,cmta06af7003h04jrv0axn03x,異域寶藏,1,1992–1992,cmta069wn000e04jr6xkw53ik,Treasures of the Savage Frontier,1,1992–1992,0.960,translation_pair,1.000,0.050,
建議合併,,cdg-4572,B 一中一西,異形神殿,1989,DOS,cmsybel0f002j04jv13c6a6zr,異形神殿,2,1990–1990,cmsxqcbos005f04l40yj9qhte,Chamber of the Sci-Mutant Priestess,1,1990–1990,0.960,translation_pair,0.990,0.270,
建議合併,,cdg-4610,B 一中一西,香港麻將,1992,DOS,cmt9rt6fk000p04jszebwxh40,香港麻將,1,1992–1992,cmta06a05000v04jrphaziq9w,Hong Kong Mahjong Pro,1,1992–1992,0.960,translation_pair,0.990,0.060,
建議合併,,cdg-5233,B 一中一西,鐵甲戰士,1994,DOS,cmtpkcbbh01hl04jvdtpfgf2h,鐵甲戰士,1,1994–1994,cmtpkhkjp02pl04jvox8rq6lt,Rise of the Robots,1,1994–1994,0.960,translation_pair,1.000,0.050,
建議合併,,cdg-5249,B 一中一西,異星特警,1994,DOS,cmtpknfsj03k204jvuz234u7h,異星特警,3,1995–1995,cmtpkk6c9035s04jv7j9yhhjw,Creature Shock,1,1995–1995,0.960,translation_pair,0.990,0.290,
建議合併,,cdg-1882,C 同語言、字面小異,軒轅劍2,1994,DOS,cmtpkcbb001hh04jvos70kkop,軒轅劍2,1,1994–1994,cmtpkd3q301n104jv9f4czpqo,軒轅劍貳,5,1994–1994,0.960,translation_pair,0.390,0.050,
建議合併,,cdg-3190,D 同語言、字面差很多,模擬樂園,1999,Windows,cmsreh08d004904ieqwybuf37,夢幻遊樂園,1,1999–1999,cmtpls2iv0ds904jvka5ffdtv,千禧新樂園,1,2000–2000,0.960,translation_pair,0.970,0.210,
建議合併,,cdg-4584,A 正規化後完全相同,F-29復仇者隱形戰鬥機,1989,DOS,cmsyq9fm3003u04jn0jhrvwl6,F-29復仇者隱形戰鬥機,1,1991–1991,cmsyrh7nb000f04lfuh4op4oc,F-29 復仇者隱形戰鬥機,2,1991–1991,0.950,same_writing,0.980,0.210,
建議合併,,cdg-0627,B 一中一西,水管狂想曲,1989,DOS,cmsvpx5bx001m04ld7fvxuts0,水管狂想曲,2,1989–1990,cmsvpx5c3001o04ldjxk9szc0,Pipe Dream,1,1989–1989,0.950,translation_pair,0.990,0.080,
建議合併,,cdg-0833,B 一中一西,百戰迷宮,1993,DOS,cmtpkd3ux01oi04jvnreyegtx,百戰迷宮,1,1994–1994,cmtpkb3y001g304jv8kp1vxlv,DUNGEON HACK,1,1994–1994,0.950,translation_pair,0.960,0.340,
建議合併,,cdg-2178,B 一中一西,超未來少女,1995,DOS,cmtpkol8p03to04jvehp6wcz2,超未來少女,1,1995–1995,cmtpki0l702z004jv3vfai4xr,FORESIGHT DOLLY,1,1995–1995,0.950,translation_pair,0.940,0.200,
建議合併,,cdg-2200,B 一中一西,NEW星式7号,1990,DOS,cmsybi8cs000q04l2570h3dce,Stellar 7,1,1990–1990,cmsybi8cj000p04l222l7kylp,NEW星式7號,1,1990–1990,0.950,translation_pair,0.800,0.070,
建議合併,,cdg-2657,B 一中一西,雲國小精靈,1990,DOS,cmsx2w98y005104ld70zxtx01,雲國小精靈,2,1990–1991,cmsx2w995005204ld5x8nrcl6,Cloud Kingdoms,1,1990–1990,0.950,translation_pair,0.990,0.080,
建議合併,,cdg-3610,B 一中一西,鑽石方塊,1989,DOS,cmsybv6wo00ek04l2557ymfne,鑽石方塊,2,1991–1991,cmsxqcbny005704l4yhm0zr28,Puzznic,1,1990–1990,0.950,translation_pair,0.990,0.230,
建議合併,,cdg-3650,B 一中一西,鬼屋魔影,1992,DOS,cmta82gdx005q04kztasgjyu3,鬼屋魔影,5,1992–1995,cmta82ge4005r04kzj5x19p1v,Alone in the Dark,1,1993–1993,0.950,translation_pair,0.990,0.320,
建議合併,,cdg-3857,B 一中一西,蓋世龍王,1990,DOS,cmsylqo2u000d04ji9sfesc82,蓋世龍王,4,1991–1991,cmsylqo31000e04ji5nzycmws,Dragon Lord,1,1991–1991,0.950,translation_pair,0.990,0.310,
建議合併,,cdg-3863,B 一中一西,猴島小英雄,1990,DOS,cmsybi88j000704l2l50i6f2q,猴島小英雄,11,1990–1991,cmsybekqa000x04jv30y4dwh5,The Secret of Monkey Island,2,1990–1990,0.950,translation_pair,0.980,0.070,
建議合併,,cdg-4004,B 一中一西,浩劫餘生,1990,DOS,cmsyqgp0i00d904jnvhmx9yy7,浩劫餘生,4,1991–1998,cmsylqo09000204ji9hbxn5lv,Fountain of Dreams,1,1991–1991,0.950,translation_pair,1.000,0.290,
建議合併,,cdg-4008,B 一中一西,從海底出擊（Wolf Pack）,1990,DOS,cmsx2w9f1006h04ldwdz6f3tx,Wolf Pack,1,1990–1990,cmsx2w9es006g04ldpno4vjf3,從海底出擊,4,1990–1991,0.950,translation_pair,0.960,0.150,
建議合併,,cdg-4570,B 一中一西,金牌拳王,1990,DOS,cmsx2unhn001104ld0sgi2kki,金牌拳王,3,1990–1991,cmsx2unhv001204ldbifpr3ej,LOW BLOW,1,1990–1990,0.950,translation_pair,0.960,0.070,
