group,id,name,slug,articles,note,articles_sample
,cmsybok2i005304l2fc3gnkog,007超級情報員 (007 James Bond The Stealth Affair),007超級情報員-007-james-bond-the-stealth-affair,1,007 James Bond The Stealth Affair,軟體世界 22 p.6 007超級情報員第18集一撥雲見日
,cmsybok52005u04l24zxy456e,U式海狼潛艇 (Das Boot),u式海狼潛艇-das-boot,2,Das Boot,軟體世界 22 p.14 U式海狼潛艇 / 軟體世界 23 p.10 U式海狼潛艇
,cmsys3a2u008304jxt4er19en,三國演義 (Romance of the Three Kingdoms),三國演義-romance-of-the-three-kingdoms,2,Romance of the Three Kingdoms,軟體世界 32 p.100 三國演義修改篇 / 軟體世界 32 p.105 三國演義修改工具程式（一）
,cmsybv6uw00e504l2xgxbzjpm,上帝也抓狂 (Godspeed),上帝也抓狂-godspeed,1,Godspeed,軟體世界 23 p.94 上帝也抓狂戰場名稱集(上)
,cmsvv0ljs000i04jr6h272lel,上帝也瘋狂 (Populous),上帝也瘋狂-populous,1,Populous,軟體世界 11 p.4 上帝也瘋狂 POPULOUS
,cmsybv6gm00ap04l20jv7su69,上海 II (Shang Hai II),上海-ii-shang-hai-ii,1,Shang Hai II,軟體世界 23 p.16 上海 II
,cmsybok4b005m04l2dffqypg0,上海II (Shanghai II),上海ii-shanghai-ii,1,Shanghai II,軟體世界 22 p.12 上海II
,cmsybok2z005804l2izsbn895,人生劇場 (Jones in the Fast Lane),人生劇場-jones-in-the-fast-lane,1,Jones in the Fast Lane,軟體世界 22 p.8 人生劇場
,cmsx2xzxe00de04ld2yex9o5k,仙境故事 (Wonder Boy),仙境故事-wonder-boy,1,Wonder Boy,軟體世界 17 p.65 仙境故事資料檔修改法
,cmsyrh878004k04lfbi4832xu,俠盜羅賓漢 (Conquests of the Longbow Legend of Robin Hood),俠盜羅賓漢-conquests-of-the-longbow-legend-of-robin-hood,1,Conquests of the Longbow Legend of Robin Hood,軟體世界 30 p.16 俠盜羅賓漢 (Conquests of the Longbow Legend of Robin Hood)
,cmtpn5xab014m04l677yxbvj0,傳說的物語（RO）,傳說的物語-ro,1,RO,軟體世界 157 p.100 傳說的物語（RO）
,cmsybok5d005x04l2m49uak1m,光速先鋒 (Light Speed),光速先鋒-light-speed,1,Light Speed,軟體世界 22 p.15 光速先鋒
,cmsyrzhnt002d04jx8ptwsn18,光速先鋒 (Lightspeed),光速先鋒-lightspeed,1,Lightspeed,軟體世界 31 p.53 光速先鋒一超級戰艦
,cmsx2xzu800cm04ldl52ipdg1,克萊恩英豪 (Klonoa),克萊恩英豪-klonoa,1,Klonoa,軟體世界 17 p.46 克萊恩英豪攻略(二)
,cmsyrh81x003h04lfcivbijl6,冰城傳奇——命運之賊 (THE BARD'S TALE:THIEF OF FATE),冰城傳奇-命運之賊-the-bard-s-tale-thief-of-fate,1,THE BARD'S TALE:THIEF OF FATE,軟體世界 30 p.8 冰城傳奇——命運之賊 (THE BARD'S TALE:THIEF OF FATE)
,cmsx2xzpo00bi04lddlfgypxc,凱撒大帝 (CENTURION: Defender of Rome),凱撒大帝-centurion-defender-of-rome,1,CENTURION: Defender of Rome,軟體世界 17 p.14 凱撒大帝
,cmsx2xzry00c204ldbpwck1mf,出擊飛龍 (Final Fight),出擊飛龍-final-fight,1,Final Fight,軟體世界 17 p.26 出擊飛龍完全攻略地圖
,cmt9n7n6g00bj04jm7360hmqk,創世紀 7—巨蛇之島 (Ultima VII),創世紀-7-巨蛇之島-ultima-vii,1,Ultima VII,軟體世界 41 p.25 創世紀 7—巨蛇之島
,cmt9n7n0200a604jmyokmjkt8,創世紀 I～III 典藏版 (Ultima Trilogy),創世紀-i-iii-典藏版-ultima-trilogy,1,Ultima Trilogy,軟體世界 41 p.10 創世紀 I～III 典藏版
,cmsybok8z007004l2psvzvst0,創世記 (Ultima),創世記-ultima,1,Ultima,軟體世界 22 p.65 縱橫十年創世紀一訪理查．蓋瑞特
,cmsvv0lqf001j04jrny4ob3hr,北與南 (North & South),北與南-north-south,1,North & South,軟體世界 11 p.92 北與南 NORTH & SOUTH
,cmsybok38005b04l2lds130w1,十字逆襲 (Netherworld),十字逆襲-netherworld,1,Netherworld,軟體世界 22 p.9 十字逆襲
,cmsyrh858004104lfiw7f805g,印度王 (Champion fo Raj),印度王-champion-fo-raj,1,Champion fo Raj,軟體世界 30 p.12 印度王 (Champion fo Raj)
,cmsyrzh9c000204jxjyrjqbxi,印度王 (Champion of Raj),印度王-champion-of-raj,1,Champion of Raj,軟體世界 31 p.1 印度王
,cmt9n7myf009r04jmxv6ar6uq,印第安那瓊斯—亞特蘭提斯之謎 (Indiana Jones and the Fate of Atlantis),印第安那瓊斯-亞特蘭提斯之謎-indiana-jones-and-the-fate-of-atlantis,2,Indiana Jones and the Fate of Atlantis,軟體世界 41 p.4 印第安那瓊斯—亞特蘭提斯之謎 / 軟體世界 41 p.85 印第安那瓊斯—亞特蘭提斯之謎
,cmsyrh82o003n04lfg7msltkg,古堡禁地 (ELVIRA),古堡禁地-elvira,1,ELVIRA,軟體世界 30 p.9 古堡禁地 (ELVIRA)
,cmt9n7nck00db04jmn7l7sro5,另一個世界 (Another World),另一個世界-another-world,1,Another World,軟體世界 41 p.92 另一個世界
,cmsx2xzxu00di04ldb53x7dps,噴射戰鬥機 (Jet Fighter),噴射戰鬥機-jet-fighter,1,Jet Fighter,軟體世界 17 p.66 噴射戰鬥機—巡曳飛彈剋星
,cmsx2xzwi00d604ldud5yke7v,四川省 (Sichuan),四川省-sichuan,1,Sichuan,軟體世界 17 p.64 四川省續關法
,cmsx2xzta00ce04ldquk0z1w3,國王傳奇 (King's Field),國王傳奇-king-s-field,1,King's Field,軟體世界 17 p.37 國王傳奇攻略(下)
,cmsvv0lm2000s04jrl54jvjs2,地心探險 (Tank Platoon),地心探險-tank-platoon,1,Tank Platoon,軟體世界 11 p.62 地心探險攻略指引
,cmsybok1n004x04l2c78vwqra,夜班玩具廠 (Night Shift),夜班玩具廠-night-shift,1,Night Shift,軟體世界 22 p.4 夜班玩具廠
,cmt9n7mzk00a104jm4qt70gx9,天際寒星—義無反顧 (Planet's Edge),天際寒星-義無反顧-planet-s-edge,2,Planet's Edge,軟體世界 41 p.8 天際寒星—義無反顧 / 軟體世界 41 p.59 天際寒星—義無反顧
,cmt9n7n3m00at04jmsnvlbofm,太平洋空戰英雄 (Aces of the Pacific),太平洋空戰英雄-aces-of-the-pacific,1,Aces of the Pacific,軟體世界 41 p.15 太平洋空戰英雄
