tocr_id,tocr_name,articles,current,suggested,from_cdosgame,from_famitsu,sources,source_ids,unknown,risk,shared_with
cmtzt5gsv00380agm8xtdbmby,007 黃金眼,1,,WII,,WII,VOL.338,索引:007黃金眼,,,
cmtpkg3gq02g104jvcam7gpey,1942特遣艦隊,1,DOS,DOS,DOS,,cdg-5296,cdg-5296,,,
cmsx2w99n005704ld4pormgdz,1990世界盃足球賽,4,,DOS,DOS,,cdg-0013,cdg-0013,,來源同時給了別筆(1),World Cup Soccer ITALIA '90
cmtpl0fpp06wl04jvgsj3lr5e,2601帝國聯合艦隊,1,DOS,DOS,DOS,,cdg-3838,cdg-3838,,,
cmtpl78vy08rq04jvn4gz0b0v,3 x 3 EYES 吸精公主,1,,WIN,WIN,,cdg-0270,cdg-0270,,靠別名對上,
cmta06a36001e04jrmjob55m6,357戰鬥大隊,2,,DOS,DOS,,cdg-4611,cdg-4611,,靠別名對上,
cmsvna23s009704l8yrj9a1wr,4 x 4 越野車大賽,1,DOS,DOS,DOS,,cdg-0030,cdg-0030,,,
cmsysv1mj000t04jovztewjnn,4D Boxing,3,,DOS,DOS,,cdg-3916,cdg-3916,,靠別名對上、來源同時給了別筆(1),囂張拳王
cmtztlry2007w04l52bukfil5,773英語教學DS 以精通TOEIC為目標,1,,NDS,,NDS,VOL.332,索引:773英語教學ds以精通toeic為目標,,,
cmtzt5oiq006r0agmrpscyyiz,'@SIMPLE DL系列 Vol.1 THE 逃出密室 ～不可思議的麥當熊篇～,1,,3DS,,3DS,VOL.343,索引:simpledl系列vol1the逃出密室不可思議的麥當熊篇,,,
cmtztly6w001i0agm82bbc2v1,'@SIMPLE DL系列 Vol.3 THE 逃出密室 ～名人豪宅篇～,1,,3DS,,3DS,VOL.381,索引:simpledl系列vol3the逃出密室名人豪宅篇,,,
cmsvud7v3000z04l6813huwg2,A NIGHTMARE ON ELM STREET,1,,DOS,DOS,,cdg-3950,cdg-3950,,靠別名對上、來源同時給了別筆(1),猛鬼逛街
cmtpkolba03up04jv108l15cw,A 列車 4,2,DOS,DOS,DOS,,cdg-0040,cdg-0040,,,
cmsvud7r5000204l6sghavira,A-10坦克殺手,3,DOS,DOS,DOS,,cdg-0034,cdg-0034,,,
cmsylqo6j000v04ji12r01sep,A-6入侵者,1,,DOS,DOS,,cdg-4581,cdg-4581,,靠別名對上、來源同時給了別筆(1),Flight of the Intruder
cmtpk43ha00qo04jv4k2r4m37,ACES OF THE PACIFIC Expansion Disk WW II:1946,1,,DOS,DOS,,cdg-4623,cdg-4623,,靠別名對上,
cmtpkqer504e904jvb96im271,AMARANTH KH,1,,DOS,DOS,,cdg-4075,cdg-4075,,靠別名對上,
cmta069tq000204jr2m4cz0tv,Aces of the Pacific,1,,DOS,DOS,,cdg-0491,cdg-0491,,靠別名對上、來源同時給了別筆(1),太平洋空戰英雄
cmu5g93qj001a04ky9vlnep2l,Age of Empires,1,,WIN,WIN,,cdg-0666,cdg-0666,,靠別名對上、來源同時給了別筆(1),世紀帝國
cmta82ge4005r04kzj5x19p1v,Alone in the Dark,1,,DOS,DOS,,cdg-3650,cdg-3650,,靠別名對上、來源同時給了別筆(1),鬼屋魔影
cmsylqo4i000k04ji0nkumnxv,Altered Destiny,1,,DOS,DOS,,cdg-3972,cdg-3972,,靠別名對上、來源同時給了別筆(1),親愛的，我被電視吸走了！
cmta069zb000q04jrq751s2fv,An American Tail,1,,DOS,DOS,,cdg-4606,cdg-4606,,靠別名對上、來源同時給了別筆(1),美國鼠譚
cmsvpbm1m000904jvs3fslqf4,Ancient Land of Ys,1,,DOS,DOS,,cdg-1592,cdg-1592,,靠別名對上、來源同時給了別筆(1),伊蘇國
cmtpkrzyn04p204jvq4s6veh1,Anvil of Dawn,1,,DOS,DOS,,cdg-2262,cdg-2262,,靠別名對上、來源同時給了別筆(1),黎明之砧
cmsvpbm18000504jv4hdr4q71,Axe of Rage,1,,DOS,DOS,,cdg-4721,cdg-4721,,靠別名對上,
cmtpn1wgz00c904l6zi7mbbu3,B-17飛行堡壘,1,,DOS,DOS,,cdg-0045,cdg-0045,,靠別名對上,
cmtpkkt8l039n04jveowh5wyq,BARYON,1,,DOS,DOS,,cdg-5224,cdg-5224,,靠別名對上、來源同時給了別筆(1),超時空戰機
