name,slug,articles,possible_duplicates
3D 網路麻將,3d-網路麻將,2,
4 In Love 3D虛擬歌手,4-in-love-3d虛擬歌手,1,
Centipede 3D,centipede-3d,1,
DroidWorks,droidworks,1,
MESSIAH,messiah,1,
Majestic,majestic,1,
Quake 2,quake-2,1,
System Shock 2,system-shock-2,1,
Test Drive 4,test-drive-4,1,Test Drive III、Test Drive III: Road & Car、Test Drive: Off-Road
Unreal Tournament,unreal-tournament,1,Unreal、Unreal II
三國演義 3,三國演義-3,1,三國、三國ONLINE、三國ONLINE官渡之戰、三國演義、三國演義 (Romance of the Three Kingdoms)、三國演義 II
世紀帝國 2：帝王世紀,世紀帝國-2-帝王世紀,1,世紀302、世紀303、世紀帝國、世紀帝國 2、世紀帝國 II、世紀帝國3
中國魔法牌,中國魔法牌,1,中國、中國2、中國二、中國貳
傭兵戰將,傭兵戰將,1,
和平的曙光,和平的曙光,1,
哈利波特,哈利波特,1,哈利波特消失的密室、哈利波特魔法學徒、哈利波特：火盃的考驗、哈利波特：魁地奇世界盃
守護者之劍 II,守護者之劍-ii,1,守護者之劍、守護者之劍2～伊格麗亞之章、守護者之劍二、守護者之劍外傳、守護者之劍外傳 - 無盡的宿命
小龍歷險記,小龍歷險記,1,
惡靈古堡III,惡靈古堡iii,1,惡靈古堡、惡靈古堡 2、惡靈古堡 3、惡靈古堡 CHRONICLES HD精選集、惡靈古堡 THE MERCENARIES 3D、惡靈古堡 復甦精選
新金山劍俠傳,新金山劍俠傳,1,
火箭挑戰者,火箭挑戰者,1,
特攻突擊隊Ranger,特攻突擊隊ranger,1,特攻突擊隊
獵鹿人,獵鹿人,1,
異剛 Shogo,異剛-shogo,1,
痞子冠軍秀,痞子冠軍秀,1,
神示錄 遊戲網路版,神示錄-遊戲網路版,1,神示錄
節奏 DJ,節奏-dj,1,
絕命追殺,絕命追殺,1,絕命追殺令
網路大富翁,網路大富翁,1,網路大富翁 2
聖泉界,聖泉界,1,
霹靂布袋戲,霹靂布袋戲,1,
魔域幻境之武林大會,魔域幻境之武林大會,1,魔域幻境、魔域幻境2、魔域幻境之武林大會二
魔獸,魔獸,1,魔獸世界、魔獸之絕地大反攻、魔獸召喚師、魔獸帝國、魔獸帝國復仇記、魔獸殺機 (Tunnels & Trolls: Adventures in Cannibal Country)
鹿鼎計 2,鹿鼎計-2,1,
鹿鼎記 EPISODE II,鹿鼎記-episode-ii,1,鹿鼎記、鹿鼎記 2、鹿鼎記II、鹿鼎記之皇城爭霸、鹿鼎記二部曲、鹿鼎記貳
