type,name,slug,articles
COMPANY,Dream Cometrue,dream-cometrue,1
COMPANY,ELSA,elsa,1
COMPANY,Epic Games,epic-games,1
COMPANY,Ion Storm,ion-storm,1
COMPANY,Leaping Lizard,leaping-lizard,1
COMPANY,Raven Software,raven-software,1
COMPANY,Softimage,softimage,1
COMPANY,id Software,id-software,1
COMPANY,光譜,光譜,1
COMPANY,和仲科技,和仲科技,1
COMPANY,和信,和信,1
COMPANY,多倫多大學,多倫多大學,1
COMPANY,宇盛科技,宇盛科技,1
COMPANY,尼奧科技,尼奧科技,1
COMPANY,崑山科技大學,崑山科技大學,1
COMPANY,榮欽科技,榮欽科技,1
COMPANY,次方科技,次方科技,2
COMPANY,漢堂,漢堂,1
COMPANY,舊金山藝術學院,舊金山藝術學院,1
COMPANY,衛道科技,衛道科技,1
COMPANY,遊戲橘子,遊戲橘子,1
COMPANY,鈦象音樂,鈦象音樂,1
COMPANY,鐵魔手,鐵魔手,1
COMPANY,霹靂,霹靂,1
COMPANY,龍華管理學院,龍華管理學院,1
EVENT,GPEC,gpec,1
EVENT,獎項,獎項,1
EVENT,遊戲設計年會,遊戲設計年會,1
GENERAL,2D圖形,2d圖形,2
GENERAL,2D遊戲,2d遊戲,1
GENERAL,3D 技術,3d-技術,9
GENERAL,3DS Max,3ds-max,1
GENERAL,3D動畫,3d動畫,1
GENERAL,3D圖形,3d圖形,3
GENERAL,3D圖形學,3d圖形學,1
GENERAL,3D模型,3d模型,1
GENERAL,3D繪圖,3d繪圖,1
GENERAL,3D軟體,3d軟體,3
GENERAL,3D開發,3d開發,2
GENERAL,3D音效,3d音效,1
GENERAL,AI,ai,1
GENERAL,API,api,1
GENERAL,BCB,bcb,1
GENERAL,C++,c,14
GENERAL,C/C++,c-c,1
GENERAL,CG動畫,cg動畫,1
GENERAL,Direct3D,direct3d,4
GENERAL,DirectDraw,directdraw,3
GENERAL,DirectInput,directinput,2
GENERAL,DirectPlay,directplay,2
GENERAL,DirectSound,directsound,1
GENERAL,Expression,expression,1
GENERAL,GDI,gdi,1
GENERAL,Game AI,game-ai,1
GENERAL,JNI,jni,1
GENERAL,Java,java,2
GENERAL,MIDI,midi,1
GENERAL,MMX,mmx,2
GENERAL,Maya,maya,5
GENERAL,OpenGL,opengl,6
GENERAL,Photoshop,photoshop,1
GENERAL,STL,stl,1
GENERAL,T&L,t-l,1
GENERAL,UI設計,ui設計,1
GENERAL,VCL,vcl,1
GENERAL,VRML,vrml,1
GENERAL,三國演義,三國演義-2,1
GENERAL,人工智慧,人工智慧,2
GENERAL,光影效果,光影效果,1
GENERAL,創意,創意,1
GENERAL,動作捕捉,動作捕捉,1
GENERAL,動畫技術,動畫技術,3
GENERAL,動畫製作,動畫製作,2
GENERAL,卡牌遊戲,卡牌遊戲,2
GENERAL,國內遊戲,國內遊戲,1
GENERAL,圖素,圖素,1
GENERAL,外掛程式,外掛程式,1
GENERAL,封面故事,封面故事,1
GENERAL,專案管理,專案管理,1
GENERAL,工具介紹,工具介紹,1
GENERAL,市場觀察,市場觀察,2
GENERAL,幕後製作,幕後製作,1
GENERAL,幾何,幾何,1
GENERAL,影像壓縮,影像壓縮,1
GENERAL,技術分析,技術分析,1
GENERAL,技術進修,技術進修,1
GENERAL,撲克遊戲,撲克遊戲,1
GENERAL,數位媒體,數位媒體,1
GENERAL,數學,數學,1
GENERAL,新作介紹,新作介紹,1
GENERAL,業界,業界,2
GENERAL,機甲,機甲,1
GENERAL,物理引擎,物理引擎,1
GENERAL,物理模擬,物理模擬,1
GENERAL,特別企劃,特別企劃,1
GENERAL,特效,特效,2
GENERAL,特稿,特稿,2
GENERAL,留學,留學,1
GENERAL,硬體加速,硬體加速,2
GENERAL,硬體技術,硬體技術,1
GENERAL,碎形幾何,碎形幾何,1
GENERAL,碰撞偵測,碰撞偵測,1
GENERAL,程式教學,程式教學,2
GENERAL,程式開發,程式開發,1
GENERAL,節奏遊戲,節奏遊戲,2
GENERAL,精靈元件,精靈元件,1
GENERAL,紙牌遊戲,紙牌遊戲,1
GENERAL,素材,素材,1
GENERAL,組合語言,組合語言,4
GENERAL,編輯部,編輯部,2
GENERAL,美術設計,美術設計,1
